id,name,balance,reported_at
1,Credit Union,1000.0,2023-03-01T00:00:00
2,Credit Union,800.0,2023-03-02T12:00:00
3,Credit Union,-1200.0,2023-03-05T12:00:00
4,Credit Union,-1400.0,2023-03-09T12:00:00
5,Credit Union,-1800.0,2023-03-12T15:00:00
6,Credit Union,3200.0,2023-03-14T12:00:00
7,Credit Union,4200.0,2023-03-15T12:00:00
8,Credit Union,4000.0,2023-03-16T12:00:00
9,Credit Union,3800.0,2023-03-23T12:00:00
10,Credit Union,3700.0,2023-03-25T12:00:00
11,Credit Union,8700.0,2023-03-28T12:00:00
12,Credit Union,8500.0,2023-03-30T12:00:00
13,Credit Union,6500.0,2023-04-05T12:00:00
14,Credit Union,6300.0,2023-04-06T12:00:00
15,Credit Union,11300.0,2023-04-11T12:00:00
16,Credit Union,11100.0,2023-04-13T12:00:00
17,Credit Union,12100.0,2023-04-15T12:00:00
18,Credit Union,11900.0,2023-04-20T12:00:00
19,Credit Union,16900.0,2023-04-25T12:00:00
20,Credit Union,16700.0,2023-04-27T12:00:00
21,Credit Union,16500.0,2023-05-04T12:00:00
22,Credit Union,14500.0,2023-05-05T12:00:00
23,Credit Union,19500.0,2023-05-09T12:00:00
24,Credit Union,19300.0,2023-05-11T12:00:00
25,Credit Union,20300.0,2023-05-15T12:00:00
26,Credit Union,20100.0,2023-05-18T12:00:00
27,Credit Union,25100.0,2023-05-23T12:00:00
28,Credit Union,24900.0,2023-05-25T12:00:00
29,Credit Union,24700.0,2023-06-01T12:00:00
30,Credit Union,22700.0,2023-06-05T12:00:00
31,Credit Union,27700.0,2023-06-06T12:00:00
32,Credit Union,27500.0,2023-06-08T12:00:00
33,Credit Union,27300.0,2023-06-15T12:00:00
34,Credit Union,28300.0,2023-06-15T12:00:00
35,Credit Union,32300.0,2023-06-20T12:00:00
36,Credit Union,32100.0,2023-06-22T12:00:00
37,Credit Union,31900.0,2023-06-29T12:00:00
