id,standard,low,high
1,60.0,,
2,10000.0,,
3,125.0,,
4,125.0,,
5,250.0,,
6,3100.0,,
7,80.0,,
8,250.0,,
9,46.99,,
10,10000.0,,
11,250.0,,
12,250.0,,
13,60.0,,
14,10000.0,,
15,125.0,,
16,125.0,,
17,250.0,,
18,3100.0,,
19,80.0,,
20,250.0,,
21,46.99,,
22,10000.0,,
23,250.0,,
24,250.0,,
25,60.0,,
26,10000.0,,
27,125.0,,
28,125.0,,
29,250.0,,
30,3100.0,,
31,80.0,,
32,250.0,,
33,46.99,,
34,10000.0,,
35,250.0,,
36,250.0,,
37,60.0,,
38,10000.0,,
39,125.0,,
40,125.0,,
41,250.0,,
42,3100.0,,
43,80.0,,
44,250.0,,
45,46.99,,
46,10000.0,,
47,250.0,,
48,250.0,,
49,60.0,,
50,10000.0,,
51,125.0,,
52,125.0,,
53,250.0,,
54,3100.0,,
55,80.0,,
56,250.0,,
57,46.99,,
58,10000.0,,
59,250.0,,
60,250.0,,
61,60.0,,
62,10000.0,,
63,125.0,,
64,125.0,,
65,250.0,,
66,3100.0,,
67,80.0,,
68,250.0,,
69,46.99,,
70,10000.0,,
71,250.0,,
72,250.0,,
73,60.0,,
74,10000.0,,
75,125.0,,
76,125.0,,
77,250.0,,
78,3100.0,,
79,80.0,,
80,250.0,,
81,46.99,,
82,10000.0,,
83,250.0,,
84,250.0,,
85,60.0,,
86,10000.0,,
87,125.0,,
88,125.0,,
89,250.0,,
90,3100.0,,
91,80.0,,
92,250.0,,
93,46.99,,
94,10000.0,,
95,250.0,,
96,250.0,,
97,60.0,,
98,10000.0,,
99,125.0,,
100,125.0,,
101,250.0,,
102,3100.0,,
103,80.0,,
104,250.0,,
105,46.99,,
106,10000.0,,
107,250.0,,
108,250.0,,
109,60.0,,
110,10000.0,,
111,125.0,,
112,125.0,,
113,250.0,,
114,3100.0,,
115,80.0,,
116,250.0,,
117,46.99,,
118,10000.0,,
119,250.0,,
120,250.0,,
121,60.0,,
122,10000.0,,
123,125.0,,
124,125.0,,
125,250.0,,
126,3100.0,,
127,80.0,,
128,250.0,,
129,46.99,,
130,10000.0,,
131,250.0,,
132,250.0,,
133,60.0,,
134,10000.0,,
135,125.0,,
136,125.0,,
137,250.0,,
138,3100.0,,
139,80.0,,
140,250.0,,
141,46.99,,
142,10000.0,,
143,250.0,,
144,250.0,,
145,60.0,,
146,10000.0,,
147,125.0,,
148,125.0,,
149,250.0,,
150,3100.0,,
151,80.0,,
152,250.0,,
153,46.99,,
154,10000.0,,
155,250.0,,
156,250.0,,
157,60.0,,
158,10000.0,,
159,125.0,,
160,125.0,,
161,250.0,,
162,3100.0,,
163,80.0,,
164,250.0,,
165,46.99,,
166,10000.0,,
167,250.0,,
168,250.0,,
169,60.0,,
170,10000.0,,
171,125.0,,
172,125.0,,
173,250.0,,
174,3100.0,,
175,80.0,,
176,250.0,,
177,46.99,,
178,10000.0,,
179,250.0,,
180,250.0,,
181,60.0,,
182,10000.0,,
183,125.0,,
184,125.0,,
185,250.0,,
186,3100.0,,
187,80.0,,
188,250.0,,
189,46.99,,
190,10000.0,,
191,250.0,,
192,250.0,,
193,60.0,,
194,10000.0,,
195,125.0,,
196,125.0,,
197,250.0,,
198,3100.0,,
199,80.0,,
200,250.0,,
201,46.99,,
202,10000.0,,
203,250.0,,
204,250.0,,
