id,account_id,reported_at,amount
1,1,2023-02-01T00:00:00,10000.0
2,2,2023-02-01T00:00:00,15000.0
3,2,2023-02-02T15:00:00,14940.0
4,1,2023-02-06T12:00:00,20000.0
5,2,2023-02-06T15:00:00,14815.0
6,2,2023-02-06T15:00:00,14690.0
7,1,2023-02-07T15:00:00,19750.0
8,1,2023-02-10T15:00:00,16650.0
9,1,2023-02-10T15:00:00,16570.0
10,1,2023-02-14T15:00:00,16400.0
11,1,2023-02-17T13:00:00,16353.01
12,2,2023-02-20T12:00:00,24815.0
13,2,2023-02-21T15:00:00,24565.0
14,1,2023-02-28T15:00:00,16103.01
15,2,2023-03-02T15:00:00,24505.0
16,1,2023-03-06T12:00:00,26103.01
17,2,2023-03-06T15:00:00,24380.0
18,2,2023-03-06T15:00:00,24255.0
19,1,2023-03-07T15:00:00,25853.01
20,1,2023-03-10T15:00:00,22753.01
21,1,2023-03-10T15:00:00,22673.01
22,1,2023-03-14T15:00:00,22503.01
23,1,2023-03-17T13:00:00,22456.02
24,2,2023-03-20T12:00:00,34380.0
25,2,2023-03-21T15:00:00,34130.0
26,1,2023-03-28T15:00:00,22206.02
27,2,2023-04-02T15:00:00,34070.0
28,1,2023-04-06T12:00:00,32206.02
29,2,2023-04-06T15:00:00,33945.0
30,2,2023-04-06T15:00:00,33820.0
31,1,2023-04-07T15:00:00,31956.02
32,1,2023-04-10T15:00:00,28856.02
33,1,2023-04-10T15:00:00,28776.02
34,1,2023-04-14T15:00:00,28606.02
35,1,2023-04-17T13:00:00,28559.03
36,2,2023-04-20T12:00:00,43945.0
37,2,2023-04-21T15:00:00,43695.0
38,1,2023-04-28T15:00:00,28309.03
39,2,2023-05-02T15:00:00,43635.0
40,1,2023-05-06T12:00:00,38309.03
41,2,2023-05-06T15:00:00,43510.0
42,2,2023-05-06T15:00:00,43385.0
43,1,2023-05-07T15:00:00,38059.03
44,1,2023-05-10T15:00:00,34959.03
45,1,2023-05-10T15:00:00,34879.03
46,1,2023-05-14T15:00:00,34709.03
47,1,2023-05-17T13:00:00,34662.04
48,2,2023-05-20T12:00:00,53510.0
49,2,2023-05-21T15:00:00,53260.0
50,1,2023-05-28T15:00:00,34412.04
51,2,2023-06-02T15:00:00,53200.0
52,1,2023-06-06T12:00:00,44412.04
53,2,2023-06-06T15:00:00,53075.0
54,2,2023-06-06T15:00:00,52950.0
55,1,2023-06-07T15:00:00,44162.04
56,1,2023-06-10T15:00:00,41062.04
57,1,2023-06-10T15:00:00,40982.04
58,1,2023-06-14T15:00:00,40812.04
59,1,2023-06-17T13:00:00,40765.05
60,2,2023-06-20T12:00:00,63075.0
61,2,2023-06-21T15:00:00,62825.0
62,1,2023-06-28T15:00:00,40515.05
63,2,2023-07-02T15:00:00,62765.0
64,1,2023-07-06T12:00:00,50515.05
65,2,2023-07-06T15:00:00,62640.0
66,2,2023-07-06T15:00:00,62515.0
67,1,2023-07-07T15:00:00,50265.05
68,1,2023-07-10T15:00:00,47165.05
69,1,2023-07-10T15:00:00,47085.05
70,1,2023-07-14T15:00:00,46915.05
71,1,2023-07-17T13:00:00,46868.06
